NO,Kode Accurate,NAMA BARANG,STATUS,CP,SP,PRICE,TANGGAL UPDATE,KATEGORI,NAMA BRAND,Stok Sistem,NON AKTIF
2420,2508000279,"NEW MONITOR MSI PRO MP275Q FLAT IPS 100HZ 27"" WQHD",READY,"Rp1.666.666,00","Rp2.130.000,00","Rp1.850.000,00",16/12/2025,"MONITOR 27""",MSI,3,TIDAK
2421,2508000194,"NEW MONITOR MSI PRO MP275W E2 FLAT IPS FULL HD 27"" 120Hz",KOSONG,,,,,"MONITOR 27""",MSI,,TIDAK
2422,2507000004,NEW MONITOR SAMSUNG 32 INCH ODYSSEY G5 G50D QHD 180Hz GAMING MONITOR - LS32DG502EEXXD,READY,"Rp4.409.910,00","Rp4.650.000,00","Rp4.550.000,00",16/12/2025,"MONITOR 32""",SAMSUNG,3,TIDAK
2423,2507000283,NEW MONITOR SAMSUNG ESSENTIAL S3 24″ FLAT IPS FHD120Hz 72% NTSC S24F320GAE,READY,"Rp1.189.189,00","Rp1.250.000,00","Rp1.220.000,00",16/12/2025,"MONITOR 24""",SAMSUNG,41,TIDAK
2424,2507000168,"NEW MONITOR SAMSUNG LED LC32R500 32"" CURVE FHD VA",KOSONG,,,,,"MONITOR 32""",SAMSUNG,,TIDAK
2425,2506000292,NEW MONITOR SAMSUNG ODYSSEY G3 G30D 27″ FLAT VA FHD (1920×1080) 180Hz 95% sRGB – (S27DG302EE),KOSONG,,,,,"MONITOR 27""",SAMSUNG,,TIDAK
2426,2503000105,NEW MONITOR SAMSUNG ODYSSEY G4 25INCH IPS FHD 240Hz,KOSONG,,,,,"MONITOR 25""",SAMSUNG,,TIDAK
2427,2503000104,NEW MONITOR SAMSUNG ODYSSEY G5 27INCH CURVED QHD VA 165HZ S27CG552EE,READY,"Rp2.527.027,00","Rp3.080.000,00","Rp2.750.000,00",16/12/2025,"MONITOR 27""",SAMSUNG,9,TIDAK
2428,2506000293,NEW MONITOR SAMSUNG ODYSSEY G5 G55C 32″ CURVED VA QHD (2560×1440) 165Hz HDR10 – (S32CG552EE),KOSONG,,,,,"MONITOR 32""",SAMSUNG,,TIDAK
2429,2507000005,NEW MONITOR SAMSUNG ODYSSEY G65B 27 INCH QHD 240HZ GAMING MONITOR - LS27BG652EEXXD,READY,"Rp5.387.387,00","Rp6.300.000,00","Rp5.800.000,00",16/12/2025,"MONITOR 27""",SAMSUNG,2,TIDAK
2430,2505000120,NEW MONITOR SAMSUNG ODYSSEY G9 G95C DUAL QHD 49 INCH 240HZ GAMING MONITOR LS49CG954EEXXD,READY,"Rp14.054.054,00","Rp16.500.000,00","Rp15.500.000,00",16/12/2025,"MONITOR 49""",SAMSUNG,1,TIDAK
2431,2509000160,"NEW MONITOR SAMSUNG S3 S30GD FLAT 27"" 100HZ FHD IPS LS27D300GAEXXD",KOSONG,"Rp1.449.550,00","Rp1.600.000,00","Rp1.550.000,00",16/12/2025,"MONITOR 27""",SAMSUNG,,TIDAK
2432,2506000295,NEW MONITOR SAMSUNG S3 S30GD LS24D300 24 INCH IPS FHD 100Hz - LS24D300GAEXXD,READY,"Rp1.036.036,00","Rp1.200.000,00","Rp1.120.000,00",16/12/2025,"MONITOR 24""",SAMSUNG,3,TIDAK
2433,2506000294,NEW MONITOR SAMSUNG S3 S33GC 24″ FLAT IPS FHD (1920×1080) 100Hz 72% NTSC – (S24C330GAE),KOSONG,,,,,"MONITOR 24""",SAMSUNG,,TIDAK
2434,2509000141,"NEW MONITOR SAMSUNG SMART GAMING 55"" ODYSSEY ARK G97NC UHD 165HZ MINI LED S55CG970NE",KOSONG,,,,,"MONITOR 55""",SAMSUNG,,TIDAK
2435,2508000077,"NEW MONITOR SKYWORTH F25G69F PRO 25"" FAST IPS 1080P 100SRGB 500Hz",READY,"Rp5.927.027,00","Rp7.000.000,00","Rp6.350.000,00",16/12/2025,"MONITOR 25""",SKYWORTH,1,TIDAK
2436,2508000076,"NEW MONITOR SKYWORTH F27G67Q PRO 27"" FAST IPS 1440p 2K QHD 300hz",READY,"Rp3.163.063,00","Rp4.150.000,00","Rp3.450.000,00",16/12/2025,"MONITOR 27""",SKYWORTH,4,TIDAK
2437,2508000158,NEW MONITOR SKYWORTH H24G30F 200H FHD FAST IPS 200HZ,KOSONG,,,,,"MONITOR 24""",SKYWORTH,,TIDAK
2438,2508000075,"NEW MONITOR SKYWORTH H24G30Q 24"" FAST IPS 1440p QHD 2K 180Hz",READY,"Rp1.641.441,00","Rp2.300.000,00","Rp1.800.000,00",16/12/2025,"MONITOR 24""",SKYWORTH,14,TIDAK
